userId,playlistId,name,description,isPublic
fomidiya7,2NyyvB9rMAWQ6UwknK3raa,lil bangers,sumn,true
kmmpbaupd3vly5ccgbshbug8g,2q0gdoqiM0zZAD5sAl2zJX,n,n,false
